DATE,TIME,O,H,L,C
20150105,11:11,8427.65,8429.6,8425.2,8426
20150105,11:12,8425.85,8425.95,8422.55,8423
20150105,11:13,8423.2,8424,8421.45,8421.6
20150105,11:14,8421.65,8422.65,8418.95,8422
20150105,11:15,8422.3,8422.6,8421.45,8422
20150105,11:16,8422.25,8423.55,8421.15,8421.2
20150105,11:17,8421.7,8422.55,8419.6,8420.05
20150105,11:18,8420.1,8421.8,8420.1,8421.8
20150105,11:19,8421.95,8426.85,8421.8,8425.45
20150105,11:20,8425.55,8426.3,8423,8423.6
20150105,11:21,8423.75,8424.15,8421.05,8421.75
20150105,11:22,8421.8,8422.8,8420.25,8420.25
20150105,11:23,8420.5,8420.7,8414.1,8415.35
20150105,11:24,8415.4,8417.25,8415.05,8416.25
20150105,11:25,8416.4,8416.85,8413.85,8414.9
20150105,11:26,8414.8,8414.8,8413.05,8414.35
20150105,11:27,8414.45,8416.05,8414.45,8414.95
20150105,11:28,8414.5,8415.05,8410.95,8411
20150105,11:29,8410.75,8410.9,8405.5,8405.5
20150105,11:30,8404.65,8405.25,8402.15,8404.3
20150105,11:31,8403.8,8406.7,8403.4,8406.05
20150105,11:32,8406.3,8412.2,8406.3,8412.2
20150105,11:33,8411.9,8411.9,8405.1,8405.3
20150105,11:34,8404.05,8405,8400.6,8401.55
20150105,11:35,8402.1,8403.3,8400.2,8400.45
20150105,11:36,8400.65,8402.7,8398.55,8399.45
20150105,11:37,8399.15,8399.9,8392.55,8392.55
20150105,11:38,8392.8,8392.8,8389.85,8392.1
20150105,11:39,8392.25,8397.3,8391.6,8397.3
20150105,11:40,8397.6,8398.85,8397.35,8397.4
20150105,11:41,8397.45,8400.2,8396.9,8399.95
20150105,11:42,8399.9,8400.7,8397.45,8398.3
20150105,11:43,8397.85,8400.65,8397.6,8399.95
20150105,11:44,8400.05,8402.05,8399.9,8401.8
20150105,11:45,8401.55,8403.8,8401.55,8403.7
20150105,11:46,8403.45,8405,8400.35,8400.7
20150105,11:47,8401.05,8405.25,8400.55,8402.55
20150105,11:48,8403.25,8403.5,8401.25,8401.25
